Date,close,open,lowest,highest,total_vol,mean_vol,std_vol,news,is_up
2015-01-02,24.49,24.925,24.026,24.992,188181988,482517.91794871795,453958.9832881191,"[""Is Xiaomi's first laptop a MacBook Air knock-off?\nLeaked images suggest that the Chinese mobile giant Xiaomi has once again ripped off Apple's design.\n"", 'AAP names 8 more nominees, completes list for Delhi polls\nAAP has a blend of candidates from different walks of life -- from former Apple executive Adarsh Shastri to Bandana Kumari, a housewife, for Delhi polls.\n']",0
2015-01-05,23.807,24.192,23.592,24.366,200586492,514324.3384615385,426711.4468355782,"[""Is Xiaomi's first laptop a MacBook Air knock-off?\nLeaked images suggest that the Chinese mobile giant Xiaomi has once again ripped off Apple's design.\n"", 'AAP names 8 more nominees, completes list for Delhi polls\nAAP has a blend of candidates from different walks of life -- from former Apple executive Adarsh Shastri to Bandana Kumari, a housewife, for Delhi polls.\n']",0
2015-01-06,23.802,23.842,23.417,24.092,237766160,609656.8205128205,452106.98435521836,"[""Is Xiaomi's first laptop a MacBook Air knock-off?\nLeaked images suggest that the Chinese mobile giant Xiaomi has once again ripped off Apple's design.\n"", 'AAP names 8 more nominees, completes list for Delhi polls\nAAP has a blend of candidates from different walks of life -- from former Apple executive Adarsh Shastri to Bandana Kumari, a housewife, for Delhi polls.\n']",1
2015-01-07,24.143,24.017,23.879,24.265,137809632,353358.0307692308,315345.3325938878,"Apple aims at bendable devices
A newly issued patent awarded to Apple shows the company may come out with a mobile phone that can be folded and put into a pocket.
",1
2015-01-08,25.066,24.391,24.328,25.151,201020076,515436.09230769234,344928.7881303344,"Xiaomi's buying spree gives Apple, Samsung more reasons to sweat
Since Nov, the maker of Mi devices has participated in more than $600 mn of investments in 3 firms and announced it bought into dozens of startups.
",1
2015-01-09,25.095,25.243,24.666,25.398,194014564,497473.24102564104,418949.47227537236,"Infosys to pay 100 per cent variable bonus to employees for December quarter
""We have made 100% variable payout for Q3 and have seen a further decline in attrition as a result of multiple initiatives taken,"" said Rao.
",0
2015-01-12,24.481,25.122,24.35,25.261,177972644,456340.11282051285,357777.10609518946,"Zomato to buy US food portal Urbanspoon for $60 mn, may give competition to Yelp
Deepinder Goyal, the chief executive of Zomato finalised the acquisition with digital media company InterActive Corp which owns Urbanspoon.
",1
2015-01-13,24.697,24.958,24.375,25.297,242520180,621846.6153846154,402625.78029163193,"Zomato to buy US food portal Urbanspoon for $60 mn, may give competition to Yelp
Deepinder Goyal, the chief executive of Zomato finalised the acquisition with digital media company InterActive Corp which owns Urbanspoon.
",0
2015-01-14,24.6,24.468,24.283,24.779,166619520,427229.53846153844,308052.9051514515,"['60,000 mobiles sold in a flash sale but Amazon fails crash test\nXiaomi has scaled up the number of devices offered on the website after it faced a massive consumer backlash when stocks were limited.\n']",0
2015-01-15,23.936,24.521,23.871,24.682,205693220,527418.5128205129,391931.33605918125,"['60,000 mobiles sold in a flash sale but Amazon fails crash test\nXiaomi has scaled up the number of devices offered on the website after it faced a massive consumer backlash when stocks were limited.\n']",0
2015-01-16,23.746,23.99,23.545,24.126,231737276,594198.1435897436,691319.5008759801,"['60,000 mobiles sold in a flash sale but Amazon fails crash test\nXiaomi has scaled up the number of devices offered on the website after it faced a massive consumer backlash when stocks were limited.\n']",1
2015-01-20,24.358,24.051,23.836,24.395,155383068,398418.1230769231,419122.6111252502,"['60,000 mobiles sold in a flash sale but Amazon fails crash test\nXiaomi has scaled up the number of devices offered on the website after it faced a massive consumer backlash when stocks were limited.\n']",1
2015-01-21,24.546,24.4,24.232,24.906,171249020,439100.0512820513,329374.35858269373,['Google Glass project to be overseen by ex-Apple executive\nThe company said it’s working on a new Glass product and will continue to invest in a business-focused program for the eyewear.\n'],1
2015-01-22,25.182,24.75,24.556,25.223,164662276,422210.9641025641,363596.2526762898,"Higher legal risks involved in the 4G ecosystem compared to 3G: Experts
“In telecom, patent litigation is going to be huge all across the world and India is no exception,” said Pavan Duggal, a leading cyber law expert and advocate.
",1
2015-01-23,25.317,25.124,24.961,25.51,153128452,392637.0564102564,346474.96939719695,"[""This is what a game will look like on the Apple watch\nSince Apple unveiled the Apple Watch in September, people have been wondering what games will look like on the watch's small display.\n"", ""Xiaomi employees work insane hours — just like Apple\nIn an interview, Xiaomi's VP of International, Hugo Barra, claimed that the co.'s standard working hours are from 9.30 in the morning through to 9.30 at night.\n""]",1
2015-01-26,25.339,25.433,25.246,25.647,175056412,448862.59487179486,360076.7280709739,"['Vendors launching low cost 4G devices may breach patents: Experts\nEricsson and, which together hold a majority of patents related to 4G technology, have warned potential offenders of litigation in case of patent violations.\n']",0
2015-01-27,24.456,25.003,24.402,25.225,269722728,691596.7384615385,627162.0323116946,"Gadget Review: iPad Air 2 a beautiful device at Rs 45,990
The Air 2 is thinner, lighter, offers blazing-fast performance, a fantastic screen, better camera quality, 10-hour battery life.
",1
2015-01-28,25.839,26.282,25.81,26.49,498805272,1278987.8769230768,1335708.8088681472,"Availability of popular iPhone 6 device falls to half of demand as co diverts supply
Smartphone retailers in the country are once again unable to meet the demand for iPhone 6 as its supplies have fallen by 50% in the last three weeks.
",1
2015-01-29,26.65,26.055,25.863,26.73,299013152,766700.3897435898,518667.10582160426,"The most exciting things you'll be able to do with the Apple Watch
Even though the watch is due to launch only in a few months, here’s a look at its most intriguing aspects.
",0
2015-01-30,26.251,26.489,26.152,26.911,279131352,715721.4153846154,617832.4353584745,"The most exciting things you'll be able to do with the Apple Watch
Even though the watch is due to launch only in a few months, here’s a look at its most intriguing aspects.
",1
2015-02-02,26.578,26.454,25.98,26.724,220454064,565266.8307692307,413035.04727539315,"[""Apple's spectacular Q3 performance from an Indian perspective\nApple can buy the three largest Indian companies, TCS, ONGC and Reliance Industries. Their combined market capitalisation is Rs 10,86,500 crore.\n"", 'Change in RBI norms may leave mobile wallet firms irrelevant\nWith the help of mobile wallet, a customer can preload money and use it to pay for services without undergoing the two-way authentication process.\n', 'BRIC nations, US help Apple close gap with Samsung: IDC\nIn order for Samsung to retain its share at the top, it will either have to accept lower margins from here forward or revamp its high-end strategy to compete with Apple.\n']",0
