iter	Passed	Remaining
0	0	459
1	1	440
2	1	422
3	2	415
4	2	407
5	3	401
6	3	396
7	4	408
8	4	405
9	5	402
10	5	398
11	6	396
12	25	1548
13	26	1491
14	27	1423
15	27	1371
16	28	1315
17	28	1261
18	29	1211
19	29	1167
20	30	1129
21	30	1094
22	31	1062
23	31	1032
24	32	1004
25	32	978
26	33	968
27	46	1296
28	49	1313
29	50	1306
30	54	1365
31	55	1340
32	56	1318
33	57	1300
34	58	1278
35	58	1254
36	60	1251
37	61	1233
38	62	1216
39	63	1207
40	64	1193
41	65	1181
42	65	1164
43	66	1145
44	67	1132
45	70	1153
46	70	1136
47	71	1123
48	75	1167
49	76	1154
50	77	1139
51	78	1126
52	79	1118
53	79	1105
54	80	1095
55	81	1083
56	81	1071
57	82	1064
58	84	1063
59	85	1053
60	85	1042
61	86	1034
62	87	1025
63	88	1015
64	88	1006
65	89	997
66	90	988
67	92	999
68	93	992
69	94	986
70	95	979
71	95	971
72	97	973
73	98	969
74	99	965
75	100	960
76	101	954
77	102	947
78	102	939
79	103	932
80	104	927
81	104	920
82	105	914
83	106	908
84	106	901
85	107	897
86	108	891
87	109	885
88	109	879
89	110	875
90	111	869
91	112	865
92	113	863
93	114	863
94	115	860
95	116	857
96	117	855
97	118	850
98	119	846
99	119	840
100	120	835
101	121	831
102	121	826
103	122	821
104	123	816
105	123	813
106	124	808
107	125	804
108	125	799
109	126	796
110	127	794
111	128	792
112	129	787
113	130	786
114	130	782
115	131	778
116	132	774
117	133	771
118	133	768
119	134	764
120	135	761
121	136	758
122	136	754
123	137	750
124	137	746
125	138	743
126	139	740
127	140	737
128	140	733
129	141	730
130	141	727
131	142	724
132	143	721
133	144	718
134	144	715
135	145	712
136	146	709
137	146	705
138	147	702
139	148	700
140	148	698
141	149	695
142	150	692
143	150	689
144	151	687
145	152	684
146	153	681
147	153	679
148	154	677
149	155	675
150	156	672
151	156	670
152	157	667
153	158	665
154	158	662
155	159	660
156	160	657
157	160	655
158	161	652
159	162	650
160	162	648
161	163	645
162	164	643
163	164	641
164	165	638
165	166	636
166	166	633
167	167	631
168	167	628
169	168	627
170	169	625
171	170	623
172	170	621
173	171	619
174	172	617
175	172	615
176	173	612
177	174	610
178	174	608
179	175	606
180	176	604
181	176	602
182	177	600
183	178	598
184	179	597
185	179	595
186	180	593
187	181	591
188	182	590
189	182	588
190	183	586
191	184	585
192	184	582
193	185	581
194	186	579
195	187	578
196	188	577
197	188	575
198	189	573
199	189	571
200	190	570
201	191	568
202	191	566
203	192	564
204	193	562
205	193	560
206	194	559
207	195	557
208	195	555
209	196	553
210	197	552
211	198	551
212	198	549
213	199	548
214	200	546
215	201	545
216	201	544
217	202	542
218	203	540
219	203	538
220	204	537
221	204	535
222	205	533
223	206	532
224	207	530
225	207	529
226	208	527
227	209	526
228	209	524
229	210	523
230	211	521
231	211	520
232	212	519
233	213	518
234	214	517
235	214	515
236	215	514
237	216	513
238	217	511
239	217	510
240	218	508
241	219	507
242	219	505
243	220	503
244	220	502
