Date,close,open,lowest,highest,total_vol,mean_vol,std_vol,news,is_up
2015-01-02,14.613,14.865,14.217,14.883,59157390,151685.61538461538,155760.92046620336, ,0
2015-01-05,14.001,14.351,13.811,14.433,68662800,176058.46153846153,168290.6387517066, ,1
2015-01-06,14.079,14.003,13.614,14.28,80752635,207058.03846153847,152662.24374701348, ,0
2015-01-07,14.054,14.219,13.985,14.319,38728110,99558.1233933162,100907.06535014043,"['BMW revives wireless charging to reduce electric car hassles\n“Inductive charging offers important convenience benefits for drivers of electric or plugin hybrid vehicles,” the Munich-based luxury-car maker said.\n']",0
2015-01-08,14.037,14.216,14.001,14.253,43839960,112699.12596401028,130930.67072590017,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",0
2015-01-09,13.773,13.944,13.664,13.999,59398215,152694.64010282778,153614.88662406636,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",0
2015-01-12,13.481,13.583,13.283,13.631,72115905,184912.57692307694,210096.98612058724,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",1
2015-01-13,13.62,13.638,13.394,13.841,49602285,127512.30077120823,127220.53580932958,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",0
2015-01-14,12.839,12.666,12.333,13.013,137698725,353073.6538461539,550815.1989161043,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",0
2015-01-15,12.783,13.016,12.667,13.05,67520070,173128.38461538462,164067.50569473,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",1
2015-01-16,12.868,12.704,12.643,12.966,45316380,116195.84615384616,124942.8703301068,"['How oil at $50 could change almost everything\nEven as cheaper fuel stimulates the global economy, it could aggravate political tension by squeezing government revenue and social benefit.\n']",0
2015-01-20,12.793,12.9,12.469,12.941,55254840,141679.07692307694,132567.92052077412,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",1
2015-01-21,13.104,12.748,12.634,13.245,52698300,135123.84615384616,127900.03861498274,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",1
2015-01-22,13.441,13.15,13.013,13.549,52641990,134979.46153846153,122557.07821945143,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",0
2015-01-23,13.419,13.282,13.222,13.567,42272595,108949.98711340207,117115.81366548903,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",1
2015-01-26,13.77,13.417,13.403,13.908,41654790,106807.15384615384,119324.94241456177,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",0
2015-01-27,13.735,13.607,13.553,13.869,34799835,90624.5703125,101263.57222258969,"['Want to be successful in your 30s? Here are four things you must learn in your early years\nKnowing how to manage your time is a skill very often overlooked and one that will allow you to remain productive even when family and routine settle in, in your 30s.\n']",0
2015-01-28,13.282,13.737,13.228,13.758,40183740,103566.34020618557,117555.85073596318,"What happens when biggies like Branson and Zuckerberg land in The Simpsons
As Space X founder Musk visits Springfield, we look at otherbusiness superstars who landed in The Simpsons.
",1
2015-01-29,13.677,13.369,13.1,13.732,42116505,107991.03846153847,100230.60158503873,"What happens when biggies like Branson and Zuckerberg land in The Simpsons
As Space X founder Musk visits Springfield, we look at otherbusiness superstars who landed in The Simpsons.
",0
2015-01-30,13.573,13.579,13.533,13.831,37286025,95605.19230769231,87027.28119909509,"[""Top Made-in-America cars famous all over the world\nConsumer Reports has put together a list of the American-built cars that performed the best in the magazine's tests.\n""]",1
2015-02-02,14.067,13.596,13.553,14.13,53972595,138391.26923076922,140373.60523309052,"[""Top Made-in-America cars famous all over the world\nConsumer Reports has put together a list of the American-built cars that performed the best in the magazine's tests.\n""]",1
2015-02-03,14.557,14.256,14.085,14.691,61904775,158730.1923076923,144253.10498599047,"[""Top Made-in-America cars famous all over the world\nConsumer Reports has put together a list of the American-built cars that performed the best in the magazine's tests.\n""]",1
2015-02-04,14.569,14.523,14.453,14.765,40516260,103887.84615384616,113023.45012428542,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-05,14.731,14.667,14.643,15.032,44784150,115126.34961439589,117300.73924473785,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-06,14.497,14.774,14.433,14.893,41438070,106251.46153846153,98816.4992509248,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-09,14.498,14.393,14.133,14.529,44864250,115036.53846153847,108173.27467208606,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-10,14.419,14.5,14.333,14.7,69936990,179325.61538461538,320018.950731847,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-11,14.181,14.12,13.819,14.316,106928805,274176.42307692306,208512.56428663022,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-12,13.523,12.988,12.885,13.539,193311780,495671.23076923075,646272.8028450494,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-13,13.585,13.595,13.394,13.733,76837695,197019.73076923078,192798.19597829526,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-17,13.627,13.685,13.433,13.713,48554055,124497.57692307692,144233.50086602595,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-18,13.625,13.647,13.507,13.745,33627405,86445.77120822622,97600.63572732471,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-19,14.114,13.667,13.583,14.163,66374490,170191.0,163850.49297013195,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",1
2015-02-20,14.476,14.007,13.987,14.507,78777750,201994.23076923078,206096.12091658043,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-23,13.823,14.357,13.755,14.547,113538480,291124.3076923077,292029.9281743559,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-24,13.607,13.718,13.447,13.819,88463685,226829.96153846153,232848.84406841276,"['Chetan Maini quits as Reva CEO; to be replaced by ex-Ford India MD Arvind Mathew\n“I may take up a position within the Mahindra Group or may even look outside. To be honest, I have still not decided,” Maini told ET.\n']",0
2015-02-25,13.585,13.697,13.505,13.809,52724775,135888.59536082475,121371.50973763765,"Dubai launches electric vehicle charging stations for 1st time
As part of the 'Smart Dubai' initiative, the stations were launched by Sheikh Mohammed bin Rashid Al Maktoum, Vice President and PM of the UAE
",1
2015-02-26,13.818,13.627,13.481,14.073,87216960,223633.23076923078,352685.3300088012,['Apple wants to start making electric vehicles as early as 2020: Reports\nApple’s possible foray into cars follows a similar path it’s taken to break into other industries — it’s not the first but builds a product that redefines those categories.\n'],0
2015-02-27,13.553,13.845,13.52,13.903,49938630,128047.76923076923,129577.68524724462,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-02,13.151,13.485,13.055,13.53,101314425,259780.57692307694,259493.67452774366,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",1
2015-03-03,13.303,13.156,13.021,13.35,58064055,148882.1923076923,154560.91283446335,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",1
2015-03-04,13.5,13.313,13.147,13.501,56786325,145605.96153846153,145286.33978698868,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-05,13.376,13.5,13.343,13.746,66095700,169476.15384615384,195572.2634433541,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-06,12.925,13.291,12.81,13.383,88419705,226717.1923076923,249069.0150298606,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-09,12.72,12.95,12.55,12.966,87888030,225353.92307692306,236377.11882303428,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-10,12.691,12.55,12.507,12.9,69475890,178143.3076923077,186045.34139446687,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",1
2015-03-11,12.916,12.76,12.734,13.079,64893420,166393.38461538462,145327.43556791433,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
2015-03-12,12.743,12.931,12.65,12.963,53411505,136952.57692307694,103362.0581263559,"['NASSCOM India Leadership Forum 2015: Top lessons from ace tech minds\nETPanache was there to distill some of the biggest learnings that emerged from the proceedings, both on and off the dais.\n']",0
